web-scraper-order,web-scraper-start-url,pagination-selector,image-src,priceCurrency,data,data2,data3,category
1758458180-35,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/03/lirene-magnolia-creme-mains-15-75ml-400x400.jpg,TND,17.100 TND,Lire la suite,LIRENE MAGNOLIA CREME MAINS 15% 75ML,Soins Spécifiques
1758458180-47,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/lirene-coconut-shine-creme-150ml-400x400.jpg,TND,47.120 TND,Lire la suite,LIRENE Coconut Shine Creme Illuminatrice 150ml,Soins hydratants et nourrissants
1758458180-27,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/lirene-ce-vitamin-energy-eau-micellaire-3-en-1-400ml-400x400.webp,TND,29.560 TND,Lire la suite,LIRENE C+E Vitamin Energy Eau Micellaire 3 En 1 400ml,"Eau micellaire, tonique, lotion"
1758458180-32,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-Acid-Power-400x400.jpg,TND,38.720 TND,Lire la suite,LIRENE Acid Power Crème Hydratante Lissante 50ml,Soins hydratants et nourrissants
1758458180-33,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-Gel-Nettoyant-Cassis-400x400.jpg,TND,18.420 TND,Lire la suite,LIRENE Gel Nettoyant Cassis 150ml,"Démaquillants, nettoyants visage"
1758458180-30,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/03/lirene-creme-mains-aux-roses-30-75ml-400x400.jpg,TND,19.650 TND,Lire la suite,LIRENE Creme Mains Aux Roses 30% 75ml,Soins des mains
1758458180-28,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/lirene-gel-nettoyant-argile-blanche-150ml-400x400.jpg,TND,19.200 TND,Lire la suite,LIRENE Gel Nettoyant Argile Blanche 150ml,Visage
1758458177-12,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2022/12/lirene-mezo-collagene-creme-de-nuit-premieres-rides-50-ml-400x400.jpg,TND,49.550 TND,Ajouter au panier,LIRENE Mezo Collagene Creme Nuit Premieres Rides 50ml,Premières Rides
1758458183-58,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-Creme-Lissante-Aux-Amandes-50ml-400x400.jpg,TND,35.700 TND,Lire la suite,LIRENE Crème Lissante Aux Amandes 50ml,Soins hydratants et nourrissants
1758458180-30,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/03/lirene-creme-mains-aux-roses-30-75ml-400x400.jpg,TND,19.650 TND,Lire la suite,LIRENE Creme Mains Aux Roses 30% 75ml,Soins des mains
1758458177-11,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2021/03/lirene-gel-lavant-amande-150ml-400x400.jpg,TND,15.600 TND,Ajouter au panier,LIRENE GEL LAVANT AMANDE 150ML,"Démaquillants, nettoyants visage"
1758458177-7,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2021/03/lirene-peeling-bamboo-a-l-extrait-de-menthe-75ml-400x400.jpg,TND,18.160 TND,Ajouter au panier,LIRENE PEELING BAMBOO A L’EXTRAIT DE MENTHE 75ML,"Démaquillants, nettoyants visage"
1758458180-38,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/lirene-lactima-therapy-400x400.jpg,TND,30.400 TND,Lire la suite,LIRENE Lactima Therapy Gel Intime Anti Inflammatoire 300ml,Toilette intime
1758458177-24,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2025/08/lirene-coffret-aqua-bubbles-hydro-gel-50ml-eau-micellaire-200ml-400x400.webp,TND,42.120 TND,Ajouter au panier,Lirene Coffret Aqua Bubbles Hydro Gel 50ml + Eau Micellaire 200ml,Coffrets
1758458180-25,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-Protective-Sun-Lotion-SPF50-175ml-400x400.jpg,TND,42.650 TND,Lire la suite,LIRENE Ecran Protective Sun Lotion SPF50+ 175ml,Protection supérieure à SPF 50+
1758458180-32,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-Acid-Power-400x400.jpg,TND,38.720 TND,Lire la suite,LIRENE Acid Power Crème Hydratante Lissante 50ml,Soins hydratants et nourrissants
1758458180-25,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-Protective-Sun-Lotion-SPF50-175ml-400x400.jpg,TND,42.650 TND,Lire la suite,LIRENE Ecran Protective Sun Lotion SPF50+ 175ml,Protection supérieure à SPF 50+
1758458177-7,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2021/03/lirene-peeling-bamboo-a-l-extrait-de-menthe-75ml-400x400.jpg,TND,18.160 TND,Ajouter au panier,LIRENE PEELING BAMBOO A L’EXTRAIT DE MENTHE 75ML,"Démaquillants, nettoyants visage"
1758458180-40,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2023/02/lirene-eau-micellaire-au-concombre-200-ml-400x400.webp,TND,14.900 TND,Lire la suite,LIRENE Eau Micellaire Concombre 200ml,"Démaquillants, nettoyants visage"
1758458177-24,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2025/08/lirene-coffret-aqua-bubbles-hydro-gel-50ml-eau-micellaire-200ml-400x400.webp,TND,42.120 TND,Ajouter au panier,Lirene Coffret Aqua Bubbles Hydro Gel 50ml + Eau Micellaire 200ml,Coffrets
1758458180-48,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-Mousse-Nettoyante-Tout-Type-De-Peau-150ml-maparatunisie-400x400.jpg,TND,23.600 TND,Lire la suite,LIRENE Mousse Nettoyante Tout Type De Peau 150ml,"Démaquillants, nettoyants visage"
1758458183-61,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/lirene-creme-regenerante-aloe-vera-400x400.jpg,TND,42.800 TND,Lire la suite,LIRENE Creme Regenerante Aloe Vera 50ml,soins anti-âge et anti-rides
1758458177-8,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2025/07/lirene-ecran-solaire-visage-invisible-spf50-40ml-a-la-vitamine-e-2ᵉ-offert-400x400.jpg,TND,38.000 TND,Ajouter au panier,Lirene Écran Solaire Visage Invisible SPF50+ 40ml à la Vitamine E + 2ᵉ Offert,MaPara MaPromo
1758458180-28,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/lirene-gel-nettoyant-argile-blanche-150ml-400x400.jpg,TND,19.200 TND,Lire la suite,LIRENE Gel Nettoyant Argile Blanche 150ml,Visage
1758458180-33,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-Gel-Nettoyant-Cassis-400x400.jpg,TND,18.420 TND,Lire la suite,LIRENE Gel Nettoyant Cassis 150ml,"Démaquillants, nettoyants visage"
1758458180-33,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-Gel-Nettoyant-Cassis-400x400.jpg,TND,18.420 TND,Lire la suite,LIRENE Gel Nettoyant Cassis 150ml,"Démaquillants, nettoyants visage"
1758458180-31,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/03/lirene-baby-soft-400x400.jpg,TND,26.700 TND,Lire la suite,LIRENE Chaussettes Baby Soft 2.5% Urea,Soins Spécifiques
1758458177-12,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2022/12/lirene-mezo-collagene-creme-de-nuit-premieres-rides-50-ml-400x400.jpg,TND,49.550 TND,Ajouter au panier,LIRENE Mezo Collagene Creme Nuit Premieres Rides 50ml,Premières Rides
1758458177-24,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2025/08/lirene-coffret-aqua-bubbles-hydro-gel-50ml-eau-micellaire-200ml-400x400.webp,TND,42.120 TND,Ajouter au panier,Lirene Coffret Aqua Bubbles Hydro Gel 50ml + Eau Micellaire 200ml,Coffrets
1758458183-61,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/lirene-creme-regenerante-aloe-vera-400x400.jpg,TND,42.800 TND,Lire la suite,LIRENE Creme Regenerante Aloe Vera 50ml,soins anti-âge et anti-rides
1758458177-16,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2025/06/lirene-bb-creme-hydratante-spf50-01-natural-400x400.webp,TND,35.700 TND,Ajouter au panier,Lirene BB Crème Hydratante SPF50 01 – Natural 30ml,BB crème
1758458177-14,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2023/02/lirene-acid-power-serum-exfoliant-30ml-400x400.jpg,TND,58.650 TND,Ajouter au panier,LIRENE Acid Power Serum Exfoliant A L’hydrolat De Pamplemousse 30ml,soins anti-taches et dépigmentants
1758458177-24,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2025/08/lirene-coffret-aqua-bubbles-hydro-gel-50ml-eau-micellaire-200ml-400x400.webp,TND,42.120 TND,Ajouter au panier,Lirene Coffret Aqua Bubbles Hydro Gel 50ml + Eau Micellaire 200ml,Coffrets
1758458180-42,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/lirene-creme-hydratante-a-la-cerise-400x400.jpg,TND,41.250 TND,Lire la suite,LIRENE Creme Hydratante à La Cerise 50ml,Soins hydratants et nourrissants
