product_name,primary_image_path,secondary_image_path,price,category
Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml.jpg,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml_2.jpg,TND,Protection solaire
Pharmaceris W Dépigment Tonique Éclaircissant 200ml,PharmacerisImages\Pharmaceris_W_Dépigment_Tonique_Éclaircissant_200ml.jpg,No secondary image,TND,"Eau micellaire, tonique, lotion"
PHARMACERIS Shampooing H-stimuclaris Antipelliculaire Anti Chute 250ml,PharmacerisImages\PHARMACERIS_Shampooing_H-stimuclaris_Antipelliculaire_Anti_Chute_250ml.jpg,PharmacerisImages\PHARMACERIS_Shampooing_H-stimuclaris_Antipelliculaire_Anti_Chute_250ml_2.jpg,TND,Shampoing antipelliculaire
Pharmaceris P Psoritar Intensive Creme Multifonctionnelle pour le Psoriasis Visage et Corps 50ml,PharmacerisImages\Pharmaceris_P_Psoritar_Intensive_Creme_Multifonctionnelle_pour_le_Psoriasis_Visage_et_Corps_50ml.jpg,PharmacerisImages\Pharmaceris_P_Psoritar_Intensive_Creme_Multifonctionnelle_pour_le_Psoriasis_Visage_et_Corps_50ml_2.jpg,TND,Soins Spécifiques
Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),PharmacerisImages\Pharmaceris_T_Coffret_Retinol_Creme_de_Nuit_+_Gel_Nettoyant_(Offert).jpg,No secondary image,TND,Black Friday
Pharmaceris H-KERATINEUM Shampooing Cheveux Fins 250ml,PharmacerisImages\Pharmaceris_H-KERATINEUM_Shampooing_Cheveux_Fins_250ml.jpg,PharmacerisImages\Pharmaceris_H-KERATINEUM_Shampooing_Cheveux_Fins_250ml_2.jpg,TND,"Shampoing cheveux secs, fins, cassants"
Pharmaceris A Vita-Sensilium Creme Visage Hydratante SPF20 50ml,PharmacerisImages\Pharmaceris_A_Vita-Sensilium_Creme_Visage_Hydratante_SPF20_50ml.jpg,PharmacerisImages\Pharmaceris_A_Vita-Sensilium_Creme_Visage_Hydratante_SPF20_50ml_2.jpg,TND,Soins hydratants et nourrissants
Pharmaceris A Prebio Sensilique Eau Micellaire Prebiotique 200ml,PharmacerisImages\Pharmaceris_A_Prebio_Sensilique_Eau_Micellaire_Prebiotique_200ml.jpg,PharmacerisImages\Pharmaceris_A_Prebio_Sensilique_Eau_Micellaire_Prebiotique_200ml_2.jpg,TND,"Eau micellaire, tonique, lotion"
Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml.jpg,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml_2.jpg,TND,Protection solaire
Pharmaceris H Stimuforten Spray Anti Chute 125ml,PharmacerisImages\Pharmaceris_H_Stimuforten_Spray_Anti_Chute_125ml.jpg,PharmacerisImages\Pharmaceris_H_Stimuforten_Spray_Anti_Chute_125ml_2.jpg,TND,Anti Chute de Cheveux & Fortifiants
PHARMACERIS E Bath Emulsion 400 ml,PharmacerisImages\PHARMACERIS_E_Bath_Emulsion_400_ml.jpg,No secondary image,TND,Soins hydratants et nourrissants
Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),PharmacerisImages\Pharmaceris_T_Coffret_Retinol_Creme_de_Nuit_+_Gel_Nettoyant_(Offert).jpg,No secondary image,TND,Black Friday
Pharmaceris Fond de Teint SPF50+ (01 Ivory) 30ml,PharmacerisImages\Pharmaceris_Fond_de_Teint_SPF50+_(01_Ivory)_30ml.jpg,PharmacerisImages\Pharmaceris_Fond_de_Teint_SPF50+_(01_Ivory)_30ml_2.jpg,TND,Protection Solaire Visage
Pharmaceris S SPF50 Peaux à Imperfections 50ml + Mousse Nettoyante Puri-Sebostatic 150ml Offerte,PharmacerisImages\Pharmaceris_S_SPF50_Peaux_à_Imperfections_50ml_+_Mousse_Nettoyante_Puri-Sebostatic_150ml_Offerte.jpg,No secondary image,TND,MaPara MaPromo
PHARMACERIS H-STIMUTONE Shampooing Anti-cheveux Gris et Repousse,PharmacerisImages\PHARMACERIS_H-STIMUTONE_Shampooing_Anti-cheveux_Gris_et_Repousse.jpg,No secondary image,TND,Shampoing
Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml.jpg,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml_2.jpg,TND,Protection solaire
Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml.jpg,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml_2.jpg,TND,Protection solaire
Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),PharmacerisImages\Pharmaceris_T_Coffret_Retinol_Creme_de_Nuit_+_Gel_Nettoyant_(Offert).jpg,No secondary image,TND,Black Friday
Pharmaceris Whitening Depigment Intense Creme de Nuit Anti Tache 50ml,PharmacerisImages\Pharmaceris_Whitening_Depigment_Intense_Creme_de_Nuit_Anti_Tache_50ml.jpg,PharmacerisImages\Pharmaceris_Whitening_Depigment_Intense_Creme_de_Nuit_Anti_Tache_50ml_2.jpg,TND,soins anti-taches et dépigmentants
Pharmaceris A Medic Protection SPF 100+ 75ml,PharmacerisImages\Pharmaceris_A_Medic_Protection_SPF_100+_75ml.jpg,PharmacerisImages\Pharmaceris_A_Medic_Protection_SPF_100+_75ml_2.jpg,TND,Protection supérieure à SPF 50+
Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),PharmacerisImages\Pharmaceris_T_Coffret_Retinol_Creme_de_Nuit_+_Gel_Nettoyant_(Offert).jpg,No secondary image,TND,Black Friday
