web-scraper-order,web-scraper-start-url,pagination-selector,image-src,image2-src,priceCurrency,data,data2,data3,category
1758459784-41,https://www.maparatunisie.tn/nos-marques/dermedic/,https://www.maparatunisie.tn/nos-marques/dermedic/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/03/dermedic-sunbrella-spray-spf50-150ml-1-400x400.webp,,TND,55.080 TND,Lire la suite,Dermedic Sunbrella Spray SPF50+ 150ml,Protection supérieure à SPF 50+
1758459780-21,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2025/02/dermedic-coffret-melumin-anti-tache-peau-sensible-400x400.jpg,,TND,92.820 TND,Ajouter au panier,Dermedic Coffret Melumin Anti Tache Peau Sensible,Coffrets
1758459784-32,https://www.maparatunisie.tn/nos-marques/dermedic/,https://www.maparatunisie.tn/nos-marques/dermedic/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/03/dermedic-capilarte-serum-anti-chute-et-repousse-150-ml-1-400x400.jpg,,TND,67.795 TND,Lire la suite,DERMEDIC Capilarte Serum Anti Chute et Repousse 150ml,Huiles et sérums
1758459780-7,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2022/11/dermedic-normacne-creme-hydratante-matifiante-40-ml-1-400x400.jpg,,TND,53.970 TND,Ajouter au panier,Dermedic Normacne Crème Hydratante Matifiante 40ml,Soins hydratants et nourrissants
1758459784-25,https://www.maparatunisie.tn/nos-marques/dermedic/,https://www.maparatunisie.tn/nos-marques/dermedic/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain3-eau-micellaire-200ml-400x400.webp,,TND,15.350 TND,Lire la suite,Dermedic Hydrain 3 Eau Micellaire 200ml,"Eau micellaire, tonique, lotion"
1758459784-41,https://www.maparatunisie.tn/nos-marques/dermedic/,https://www.maparatunisie.tn/nos-marques/dermedic/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/03/dermedic-sunbrella-spray-spf50-150ml-1-400x400.webp,,TND,55.080 TND,Lire la suite,Dermedic Sunbrella Spray SPF50+ 150ml,Protection supérieure à SPF 50+
1758459784-33,https://www.maparatunisie.tn/nos-marques/dermedic/,https://www.maparatunisie.tn/nos-marques/dermedic/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain-3-serum-30-ml-4-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain-3-serum-30-ml-2-400x400.jpg,TND,87.100 TND,Lire la suite,DERMEDIC Hydrain 3 Serum 30ml,Hydratants peaux sèches
1758459780-4,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2023/06/dermedic-normacne-gel-nettoyant-antibacterien-500-ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2022/11/DERMEDIC-Normacne-Gel-Nettoyant-Antibacterien-200-ml-1-maparatunisie-400x400.jpg,TND,43.500 TND,Ajouter au panier,Dermedic Normacne Gel Nettoyant Antibactérien 500ml,Nettoyage
1758459784-32,https://www.maparatunisie.tn/nos-marques/dermedic/,https://www.maparatunisie.tn/nos-marques/dermedic/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/03/dermedic-capilarte-serum-anti-chute-et-repousse-150-ml-1-400x400.jpg,,TND,67.795 TND,Lire la suite,DERMEDIC Capilarte Serum Anti Chute et Repousse 150ml,Huiles et sérums
1758459780-14,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2021/03/dermedic-capilarte-shampooing-sebu-balance-pour-cheveux-gras-300ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/03/dermedic-capilarte-shampooing-sebu-balance-pour-cheveux-gras-300ml-3-400x400.jpg,TND,38.670 TND,Ajouter au panier,Dermedic Capilarte Shampooing Sebu-Balance pour Cheveux Gras 300ml,Shampoing antipelliculaire
1758459780-20,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2025/02/dermedic-melumin-mousse-nettoyante-douce-170ml-400x400.jpg,,TND,37.480 TND,Ajouter au panier,Dermedic Melumin Mousse Nettoyante Douce 170ml,"Lait, mousse, émulsion"
1758459780-23,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2022/07/dermedic-oilage-creme-de-jour-nourrissante-anti-age-50ml-1-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2022/07/dermedic-oilage-creme-de-jour-nourrissante-anti-age-50ml-2-400x400.jpg,TND,91.310 TND,Ajouter au panier,Dermedic Oilage Creme de Jour Nourrissante Anti-Age 50ml,soins anti-âge et anti-rides
1758459784-25,https://www.maparatunisie.tn/nos-marques/dermedic/,https://www.maparatunisie.tn/nos-marques/dermedic/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain3-eau-micellaire-200ml-400x400.webp,,TND,15.350 TND,Lire la suite,Dermedic Hydrain 3 Eau Micellaire 200ml,"Eau micellaire, tonique, lotion"
1758459780-22,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2025/02/dermedic-normacne-mousse-anti-imperfections-170ml-400x400.jpg,,TND,37.480 TND,Ajouter au panier,Dermedic Normacne Mousse Anti Imperfections 170ml,"Lait, mousse, émulsion"
1758459780-13,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2024/07/dermedic-sunbrella-ecran-spf50-peaux-normales-a-seches-40ml-2eme-offert-400x400.jpg,,TND,53.980 TND,Ajouter au panier,Dermedic Sunbrella Ecran SPF50+ Peaux Normales à Seches 40ml (2eme Offert),Protection supérieure à SPF 50+
1758459780-24,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain-3-creme-yeux-15ml-1-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain-3-creme-yeux-15ml-2-400x400.jpg,TND,23.076 TND,Lire la suite,Dermedic Hydrain 3 Creme Yeux 15ml,Contour des yeux
1758459780-1,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain3-eau-micellaire-500ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain3-eau-micellaire-500ml-2-400x400.jpg,TND,29.988 TND,Ajouter au panier,Dermedic Hydrain 3 Eau Micellaire 500ml,"Eau micellaire, tonique, lotion"
1758459780-2,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain-3-gel-creme-ultr-hydrat-50g-1-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain-3-gel-creme-ultr-hydrat-50g-2-400x400.jpg,TND,44.982 TND,Ajouter au panier,Dermedic Hydrain 3 Gel Creme Ultra-Hydratant 50g,Soins hydratants et nourrissants
1758459780-9,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-melumin-emulsion-micellaire-eclaircissante-200ml-1-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-melumin-emulsion-micellaire-eclaircissante-200ml-2-400x400.jpg,TND,37.690 TND,Ajouter au panier,Dermedic Melumin Emulsion Micellaire Éclaircissante 200ml,"Lait, mousse, émulsion"
1758459780-14,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2021/03/dermedic-capilarte-shampooing-sebu-balance-pour-cheveux-gras-300ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/03/dermedic-capilarte-shampooing-sebu-balance-pour-cheveux-gras-300ml-3-400x400.jpg,TND,38.670 TND,Ajouter au panier,Dermedic Capilarte Shampooing Sebu-Balance pour Cheveux Gras 300ml,Shampoing antipelliculaire
1758459780-24,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain-3-creme-yeux-15ml-1-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain-3-creme-yeux-15ml-2-400x400.jpg,TND,23.076 TND,Lire la suite,Dermedic Hydrain 3 Creme Yeux 15ml,Contour des yeux
